"T","Points:0","Points:1","Points:2"
319.98,0.066,-0.13812,0
319.97,0.072,-0.13812,0
319.97,0.078,-0.13812,0
319.97,0.084,-0.13812,0
319.96,0.09,-0.13812,0
319.96,0.096,-0.13812,0
319.95,0.102,-0.13812,0
319.95,0.108,-0.13812,0
319.95,0.114,-0.13812,0
319.95,0.12,-0.13812,0
319.94,0.126,-0.13812,0
319.94,0.132,-0.13812,0
319.94,0.138,-0.13812,0
319.93,0.144,-0.13812,0
319.93,0.15,-0.13812,0
319.92,0.156,-0.13812,0
319.91,0.162,-0.13812,0
319.9,0.168,-0.13812,0
319.9,0.174,-0.13812,0
319.9,0.18,-0.13812,0
319.9,0.186,-0.13812,0
319.9,0.192,-0.13812,0
319.91,0.198,-0.13812,0
319.92,0.204,-0.13812,0
319.92,0.21,-0.13812,0
319.92,0.216,-0.13812,0
319.97,0.222,-0.13812,0
320.15,0.228,-0.13812,0
320.48,0.234,-0.13812,0
321.68,0.24,-0.13812,0
327.41,0.246,-0.13812,0
334.04,0.252,-0.13812,0
335.18,0.258,-0.13812,0
334.63,0.264,-0.13812,0
338.01,0.27,-0.13812,0
344.49,0.276,-0.13812,0
349.24,0.282,-0.13812,0
350.58,0.288,-0.13812,0
353.58,0.294,-0.13812,0
358.54,0.3,-0.13812,0
361.13,0.306,-0.13812,0
362.26,0.312,-0.13812,0
362.65,0.318,-0.13812,0
361.62,0.324,-0.13812,0
358.13,0.33,-0.13812,0
354.13,0.336,-0.13812,0
355.17,0.342,-0.13812,0
357.54,0.348,-0.13812,0
356.2,0.354,-0.13812,0
354.69,0.36,-0.13812,0
354.06,0.366,-0.13812,0
352.94,0.372,-0.13812,0
350.05,0.378,-0.13812,0
347.3,0.384,-0.13812,0
346.48,0.39,-0.13812,0
346.29,0.396,-0.13812,0
347.27,0.402,-0.13812,0
348.87,0.408,-0.13812,0
349,0.414,-0.13812,0
346.76,0.42,-0.13812,0
342.81,0.426,-0.13812,0
339.29,0.432,-0.13812,0
336.31,0.438,-0.13812,0
331.88,0.444,-0.13812,0
326.66,0.45,-0.13812,0
323.2,0.456,-0.13812,0
321.99,0.462,-0.13812,0
321.74,0.468,-0.13812,0
321.31,0.474,-0.13812,0
321.23,0.48,-0.13812,0
322.96,0.486,-0.13812,0
326.68,0.492,-0.13812,0
329.9,0.498,-0.13812,0
332.23,0.504,-0.13812,0
335.36,0.51,-0.13812,0
337.95,0.516,-0.13812,0
338.28,0.522,-0.13812,0
337.23,0.528,-0.13812,0
336.25,0.534,-0.13812,0
338.41,0.54,-0.13812,0
343.29,0.546,-0.13812,0
343.21,0.552,-0.13812,0
337.88,0.558,-0.13812,0
329.41,0.564,-0.13812,0
318.05,0.57,-0.13812,0
312.29,0.576,-0.13812,0
319.97,0.006,-0.13518,0
320,0,-0.13518,0
319.98,0.012,-0.13518,0
319.98,0.018,-0.13518,0
319.98,0.024,-0.13518,0
319.98,0.03,-0.13518,0
319.98,0.036,-0.13518,0
319.98,0.042,-0.13518,0
319.98,0.048,-0.13518,0
319.98,0.054,-0.13518,0
319.98,0.06,-0.13518,0
319.98,0.066,-0.13518,0
319.98,0.072,-0.13518,0
319.97,0.078,-0.13518,0
319.97,0.084,-0.13518,0
319.97,0.09,-0.13518,0
319.96,0.096,-0.13518,0
319.96,0.102,-0.13518,0
319.96,0.108,-0.13518,0
319.95,0.114,-0.13518,0
319.95,0.12,-0.13518,0
319.95,0.126,-0.13518,0
319.95,0.132,-0.13518,0
319.94,0.138,-0.13518,0
319.94,0.144,-0.13518,0
319.94,0.15,-0.13518,0
319.93,0.156,-0.13518,0
319.93,0.162,-0.13518,0
319.92,0.168,-0.13518,0
319.91,0.174,-0.13518,0
319.91,0.18,-0.13518,0
319.9,0.186,-0.13518,0
319.9,0.192,-0.13518,0
319.9,0.198,-0.13518,0
319.9,0.204,-0.13518,0
319.9,0.21,-0.13518,0
319.92,0.216,-0.13518,0
320,0.222,-0.13518,0
320.1,0.228,-0.13518,0
320.47,0.234,-0.13518,0
322.66,0.24,-0.13518,0
330.92,0.246,-0.13518,0
338.87,0.252,-0.13518,0
339.02,0.258,-0.13518,0
337.07,0.264,-0.13518,0
339.46,0.27,-0.13518,0
345.38,0.276,-0.13518,0
348.89,0.282,-0.13518,0
348.59,0.288,-0.13518,0
351.75,0.294,-0.13518,0
358.31,0.3,-0.13518,0
361.59,0.306,-0.13518,0
362.48,0.312,-0.13518,0
362.42,0.318,-0.13518,0
361.5,0.324,-0.13518,0
359.12,0.33,-0.13518,0
356.44,0.336,-0.13518,0
356.67,0.342,-0.13518,0
357.02,0.348,-0.13518,0
355.46,0.354,-0.13518,0
354.69,0.36,-0.13518,0
354.4,0.366,-0.13518,0
353.06,0.372,-0.13518,0
350.09,0.378,-0.13518,0
347.97,0.384,-0.13518,0
347.12,0.39,-0.13518,0
346,0.396,-0.13518,0
346.31,0.402,-0.13518,0
347.93,0.408,-0.13518,0
348.35,0.414,-0.13518,0
346.82,0.42,-0.13518,0
343.26,0.426,-0.13518,0
340.02,0.432,-0.13518,0
337.8,0.438,-0.13518,0
332.84,0.444,-0.13518,0
327.67,0.45,-0.13518,0
324.58,0.456,-0.13518,0
322.88,0.462,-0.13518,0
322.87,0.468,-0.13518,0
